flight_id,flight_date,airline,flight_number,origin_airport,destination_airport,delay_in_minutes,cancelled,cancel_reason
55,2015-08-14,B6,768,PSE,MCO,372,0,
56,2015-03-22,B6,2276,SJU,BDL,916,0,
57,2015-09-27,US,602,ORD,PHX,380,0,
58,2015-07-07,AS,695,GEG,SEA,113,0,
59,2015-07-04,HA,102,HNL,ITO,882,0,
60,2015-12-19,OO,5467,ONT,SFO,633,1,Airline/Carrier
61,2015-12-04,HA,108,HNL,KOA,569,1,Airline/Carrier
62,2015-01-27,AS,730,ANC,SEA,822,0,
63,2015-08-26,HA,206,HNL,OGG,175,0,
64,2015-11-30,UA,1500,ORD,IAH,321,0,
65,2015-06-04,AA,1323,MCO,MIA,45,0,
66,2015-04-13,NK,103,BOS,MYR,263,0,
67,2015-08-23,OO,7404,HIB,MSP,743,0,
68,2015-11-01,OO,7419,ABR,MSP,389,0,
69,2015-02-25,OO,5254,MAF,IAH,21,0,
70,2015-01-24,US,480,SEA,PHX,108,0,
71,2015-11-13,AA,1057,DFW,MIA,236,0,
72,2015-01-06,AA,2454,BOS,MIA,813,0,
73,2015-07-05,EV,4354,MKE,IAH,601,0,
74,2015-09-30,US,425,PDX,PHX,26,0,
75,2015-07-02,AA,89,IAH,MIA,565,0,
76,2015-06-27,DL,2099,BNA,DTW,628,0,
77,2015-11-20,EV,4685,BRO,IAH,693,0,
78,2015-12-30,EV,5583,VPS,ATL,952,1,Weather
79,2015-01-11,OO,5484,BOI,SFO,518,0,
80,2015-03-19,OO,7370,BJI,MSP,794,0,
81,2015-08-12,HA,103,HNL,LIH,984,0,
82,2015-08-25,EV,5187,BNA,ATL,523,0,
83,2015-11-17,MQ,2859,SGF,DFW,12,0,
84,2015-08-29,UA,1201,PHL,IAH,978,0,
85,2015-09-03,UA,1221,PDX,DEN,344,0,
86,2015-10-19,UA,1607,SEA,DEN,840,0,
87,2015-07-13,AA,328,DEN,DFW,840,0,
88,2015-06-04,EV,5764,SBN,ORD,149,0,
89,2015-01-30,F9,1279,PHL,MCO,116,0,
90,2015-03-21,NK,409,ORD,FLL,994,0,
91,2015-12-28,OO,5460,RDD,SFO,332,0,
92,2015-09-26,OO,6391,EUG,DEN,615,0,
93,2015-10-17,UA,1532,SFO,DEN,253,0,
94,2015-04-20,UA,1167,ORD,DEN,212,0,
95,2015-10-25,UA,1012,IAD,IAH,608,0,
96,2015-12-24,B6,2001,BUF,JFK,532,0,
97,2015-04-11,B6,2807,PWM,JFK,806,0,
98,2015-06-10,B6,2023,JFK,SJU,380,0,
99,2015-04-01,EV,4557,CRP,IAH,13,0,
100,2015-10-09,EV,5241,PIA,DTW,773,0,
101,2015-01-15,EV,5498,ORD,DTW,981,0,
102,2015-10-29,OO,6512,FAT,LAX,523,0,
103,2015-04-07,UA,1577,SMF,DEN,265,1,Airline/Carrier
104,2015-11-28,OO,4986,AUS,LAX,744,0,
105,2015-05-28,B6,727,BOS,BWI,157,0,
106,2015-07-12,B6,1012,ORD,BOS,778,0,
107,2015-06-22,DL,824,PHX,DTW,482,0,
108,2015-12-05,DL,941,MCI,ATL,294,0,
109,2015-11-28,DL,2079,BOS,DTW,973,0,
110,2015-07-23,EV,3268,ATL,IAD,636,0,
111,2015-06-06,EV,4160,JAX,EWR,837,0,
112,2015-04-11,OO,6285,MFR,DEN,976,0,
113,2015-02-22,OO,5184,SLC,IAH,704,0,
114,2015-10-14,OO,6358,IDA,DEN,49,0,
115,2015-04-10,F9,161,MSN,DEN,382,0,
116,2015-12-05,OO,4833,MKE,DTW,591,1,Security
117,2015-04-04,UA,1119,GEG,DEN,27,0,
118,2015-10-21,UA,1237,SEA,IAH,957,1,Security
119,2015-12-17,UA,1540,DCA,IAH,754,0,
120,2015-10-02,AA,1433,SAT,DFW,497,1,Security
121,2015-02-18,AA,2299,JFK,MIA,977,0,
122,2015-11-04,B6,721,BOS,PBI,310,0,
123,2015-04-06,B6,917,BOS,JFK,559,0,
124,2015-03-15,B6,939,JFK,BQN,854,0,
125,2015-02-06,DL,1890,DFW,ATL,234,0,
126,2015-11-05,EV,4646,CHS,EWR,924,1,Airline/Carrier
127,2015-04-17,F9,365,MKE,DEN,245,0,
128,2015-04-21,F9,117,MSP,DEN,308,0,
129,2015-07-09,MQ,2926,CHS,DFW,645,0,
130,2015-09-28,OO,2599,DEN,LAX,609,0,
131,2015-05-07,OO,5482,SBA,DEN,900,1,Airline/Carrier
132,2015-01-07,OO,6457,SMX,LAX,558,1,Security
133,2015-02-06,HA,218,HNL,KOA,928,0,
134,2015-08-16,B6,515,BOS,BUF,525,0,
135,2015-05-23,UA,228,PDX,EWR,500,0,
136,2015-01-31,US,641,IND,PHX,102,0,
137,2015-07-04,UA,495,LAX,DEN,890,0,
138,2015-12-01,UA,507,CLE,IAH,150,0,
139,2015-05-06,UA,1553,BOS,EWR,688,0,
140,2015-05-23,US,403,DEN,PHX,327,1,Airline/Carrier
141,2015-08-26,US,446,MCI,PHX,184,0,
142,2015-08-02,AA,1178,AUS,DFW,669,0,
143,2015-01-04,AA,2410,LAX,DFW,669,0,
144,2015-07-14,DL,2453,GSP,ATL,556,0,
145,2015-07-24,B6,2228,MCO,EWR,436,0,
146,2015-08-18,EV,4555,MCI,IAH,164,0,
147,2015-05-13,EV,5698,BDL,IAD,601,0,
148,2015-05-03,MQ,3534,ABI,DFW,115,0,
149,2015-01-02,EV,4339,RIC,IAH,157,1,Airline/Carrier
150,2015-03-12,OO,6204,BFL,DEN,34,0,
151,2015-10-09,OO,6261,SAT,SFO,54,0,
152,2015-10-07,OO,5160,OMA,IAH,402,0,
153,2015-08-25,OO,6224,RDM,DEN,449,0,
154,2015-03-23,B6,860,FLL,BDL,775,0,
155,2015-05-23,EV,5230,CID,ATL,877,0,
156,2015-05-27,WN,526,SFO,DEN,155,0,
157,2015-10-16,UA,1222,MCO,LAX,864,0,
158,2015-07-14,UA,1507,TPA,EWR,239,0,
159,2015-06-01,AA,1094,SEA,DFW,377,1,Security
160,2015-06-18,AA,1233,BOS,DFW,864,0,
161,2015-03-21,B6,115,SYR,JFK,996,0,
162,2015-03-23,B6,185,ROC,JFK,585,0,
163,2015-02-21,EV,2519,TYR,DFW,908,1,Security
164,2015-12-23,EV,3928,MCI,ORD,475,0,
165,2015-12-13,EV,3941,LAN,ORD,488,0,
166,2015-11-19,EV,5976,BUF,EWR,244,1,Weather
167,2015-01-11,MQ,3161,XNA,DFW,508,0,
168,2015-10-04,EV,5677,GSO,EWR,421,0,
169,2015-04-11,NK,224,ORD,LGA,941,0,
170,2015-09-06,UA,1457,LAX,IAH,896,0,
171,2015-09-05,AA,1205,EWR,MIA,358,0,
172,2015-05-06,OO,5547,ONT,DEN,757,0,
173,2015-04-16,UA,210,MSP,DEN,36,0,
174,2015-07-09,UA,214,PBI,IAH,21,0,
175,2015-09-19,UA,247,PHX,IAH,801,1,Security
176,2015-11-08,UA,256,RSW,IAH,158,0,
177,2015-07-08,UA,319,EWR,MCO,692,0,
178,2015-09-28,UA,374,OMA,ORD,64,1,Security
179,2015-10-31,US,635,SMF,PHX,708,0,
180,2015-05-06,US,646,OAK,PHX,629,0,
181,2015-03-19,US,1941,PVD,CLT,824,0,
182,2015-01-26,UA,422,RNO,DEN,941,0,
183,2015-11-03,UA,544,PIT,IAH,494,0,
184,2015-06-26,UA,1016,DEN,IAH,540,0,
185,2015-06-21,WN,4122,BOS,BWI,678,0,
186,2015-11-24,WN,4822,LAS,BWI,811,0,
187,2015-07-01,WN,2215,ABQ,HOU,747,0,
188,2015-07-26,WN,676,PHX,SLC,660,0,
189,2015-08-23,WN,2787,PIT,FLL,385,0,
190,2015-07-17,WN,4859,PVD,BWI,331,0,
191,2015-06-04,WN,597,SFO,ATL,568,0,
192,2015-11-16,UA,1158,SFO,ORD,510,0,
193,2015-09-28,UA,1163,MCO,EWR,783,1,Security
194,2015-10-01,UA,1188,PDX,IAH,686,0,
195,2015-07-08,UA,1198,BOS,ORD,24,0,
196,2015-02-20,UA,1224,SFO,LAX,570,0,
197,2015-09-13,UA,1296,SAT,LAX,341,0,
198,2015-12-21,UA,1431,BOS,LAX,118,1,Security
199,2015-03-04,UA,1637,SEA,EWR,143,0,
200,2015-03-09,UA,1735,LAX,ORD,368,0,
201,2015-10-20,US,410,IAH,PHX,546,1,Security
202,2015-08-21,US,459,MCO,PHX,209,0,
203,2015-09-12,US,610,SFO,PHX,587,0,
204,2015-03-31,AA,72,DFW,MCO,423,0,
205,2015-06-05,AA,196,MIA,PHL,558,1,Security
206,2015-04-05,AA,304,SLC,DFW,709,0,
207,2015-12-26,AA,175,DCA,DFW,364,1,Weather
208,2015-05-28,AA,281,MIA,DFW,770,0,
209,2015-01-27,AA,233,BWI,MIA,39,0,
210,2015-09-05,AA,1100,DFW,LGA,321,0,
211,2015-02-12,AA,1103,LGA,DFW,69,1,Security
212,2015-03-31,AA,1028,DEN,ORD,622,0,
213,2015-03-10,AA,1039,MCI,DFW,159,0,
214,2015-11-10,AA,1055,MCO,DFW,271,0,
215,2015-10-16,AA,1180,SFO,DFW,953,0,
216,2015-05-28,AA,1345,TUL,DFW,642,0,
217,2015-08-22,AA,1297,LGA,MIA,401,0,
218,2015-04-30,AA,1411,LIT,DFW,447,0,
219,2015-06-19,AA,1084,MIA,LGA,41,0,
220,2015-01-11,AA,1088,LAS,DFW,515,0,
221,2015-01-20,AA,1534,PDX,DFW,463,0,
222,2015-07-07,AA,1573,TPA,DFW,866,0,
223,2015-11-17,AA,1660,SMF,DFW,358,0,
224,2015-08-04,AA,2204,MSY,MIA,464,0,
225,2015-01-20,AA,1515,LAX,ORD,363,0,
226,2015-07-21,AA,2307,OMA,DFW,623,1,Security
227,2015-10-18,AA,2363,OKC,DFW,608,0,
228,2015-07-08,AS,81,SEA,ANC,731,1,Security
229,2015-07-09,AS,162,FAI,ANC,94,0,
230,2015-06-12,AS,200,SEA,SJC,370,1,Airline/Carrier
231,2015-08-11,AS,342,SEA,OAK,93,0,
232,2015-02-13,AS,406,PDX,SJC,800,1,Airline/Carrier
233,2015-08-16,AS,477,LAX,SEA,739,0,
234,2015-09-11,AS,631,PHX,SEA,50,0,
235,2015-04-02,AS,683,DEN,SEA,111,0,
236,2015-08-12,AS,699,GEG,SEA,15,1,Weather
237,2015-06-14,B6,130,RSW,JFK,601,0,
238,2015-01-31,B6,154,PBI,JFK,109,0,
239,2015-10-31,B6,353,JFK,PBI,715,0,
240,2015-10-30,B6,226,TPA,JFK,562,1,Airline/Carrier
241,2015-05-18,B6,272,FLL,LGA,868,0,
242,2015-01-22,B6,447,OAK,LGB,133,0,
243,2015-03-15,B6,371,LGA,FLL,404,0,
244,2015-10-24,B6,583,JFK,MCO,664,0,
245,2015-09-27,B6,605,EWR,FLL,548,0,
246,2015-10-30,B6,525,JFK,TPA,810,1,Security
247,2015-06-08,B6,746,PSE,JFK,281,0,
248,2015-06-08,B6,776,MSY,JFK,202,1,Security
249,2015-07-08,B6,794,AUS,JFK,943,0,
250,2015-03-15,B6,838,BQN,JFK,489,0,
251,2015-04-16,B6,892,TPA,BOS,361,0,
252,2015-03-20,B6,1678,JAX,JFK,226,1,Airline/Carrier
253,2015-11-30,B6,1790,DCA,BOS,386,0,
254,2015-07-18,DL,421,JFK,ATL,625,0,
255,2015-01-01,DL,731,LGA,DTW,560,0,
256,2015-04-07,DL,743,RNO,SLC,984,1,Security
257,2015-02-26,DL,750,BOS,JFK,987,0,
258,2015-01-30,DL,809,BOS,MSP,383,1,Weather
259,2015-08-13,DL,904,LGA,ATL,59,0,
260,2015-01-02,DL,977,ORD,ATL,666,0,
261,2015-11-21,DL,1088,ANC,MSP,258,0,
262,2015-03-03,DL,1098,ATW,ATL,616,0,
263,2015-08-29,DL,1205,PHX,ATL,509,1,Weather
264,2015-10-04,DL,1234,PNS,ATL,357,0,
265,2015-06-07,DL,1235,MCO,SLC,244,0,
266,2015-08-29,AA,1462,ONT,DFW,455,0,
267,2015-12-08,AA,913,DCA,MIA,654,0,
268,2015-07-16,DL,1961,RIC,ATL,181,0,
269,2015-04-17,DL,2154,LAX,ATL,324,0,
270,2015-12-18,DL,2282,BOS,ATL,658,0,
271,2015-11-09,DL,2417,LAS,DTW,448,0,
272,2015-05-03,DL,1540,OKC,ATL,339,0,
273,2015-05-03,DL,1574,MCO,MSP,352,1,Security
274,2015-06-10,DL,1700,MEM,ATL,212,0,
275,2015-02-17,DL,1867,TUL,ATL,489,0,
276,2015-04-14,DL,1937,BWI,DTW,587,0,
277,2015-08-21,B6,159,BOS,PHL,511,1,Security
278,2015-04-12,B6,198,MCO,LGA,881,0,
279,2015-09-14,B6,1502,FLL,JFK,760,0,
280,2015-11-05,B6,1504,SJU,JFK,452,0,
281,2015-12-15,B6,1600,BOS,DCA,917,1,Security
282,2015-06-06,EV,2533,TYS,DFW,923,0,
283,2015-03-21,EV,4213,MHT,ORD,120,0,
284,2015-02-15,EV,4431,SAV,EWR,209,0,
285,2015-10-19,EV,4411,MEM,EWR,891,0,
286,2015-04-20,EV,4756,CLT,ORD,855,0,
287,2015-07-07,EV,4768,TYS,IAD,908,0,
288,2015-10-22,EV,4740,GRB,ORD,763,0,
289,2015-08-05,EV,5103,ABE,DTW,664,0,
290,2015-04-07,EV,5275,JAN,ATL,805,0,
291,2015-05-23,EV,5491,OAJ,ATL,919,0,
292,2015-01-24,EV,5978,FAR,ORD,481,0,
293,2015-05-08,EV,5917,JAN,ORD,375,0,
294,2015-11-22,EV,6133,ERI,ORD,807,0,
295,2015-06-27,EV,6082,ATW,ORD,224,0,
296,2015-10-07,EV,6122,LEX,ORD,899,0,
297,2015-05-26,EV,6143,CWA,ORD,470,0,
298,2015-05-28,F9,865,MSO,DEN,894,0,
299,2015-07-14,F9,1256,ORD,MIA,184,0,
300,2015-02-17,F9,1104,CLE,FLL,967,1,Weather
301,2015-08-02,F9,1057,IAH,SFO,457,0,
302,2015-11-29,F9,144,SEA,DEN,737,0,
303,2015-01-10,F9,1056,SFO,IAH,348,0,
304,2015-09-28,F9,901,TTN,ATL,816,0,
305,2015-10-09,F9,902,ATL,TTN,344,0,
306,2015-10-21,HA,202,HNL,ITO,661,1,Security
307,2015-08-01,MQ,2898,MAF,DFW,831,0,
308,2015-03-27,MQ,2957,AMA,DFW,76,1,Security
309,2015-08-21,MQ,2962,CLL,DFW,653,0,
310,2015-10-21,MQ,3014,HOU,DFW,166,0,
311,2015-05-14,MQ,3015,DFW,BTR,648,0,
312,2015-01-31,MQ,3079,JLN,DFW,562,0,
313,2015-05-05,MQ,3189,CID,DFW,399,0,
314,2015-04-14,MQ,3302,MLI,DFW,717,0,
315,2015-03-04,MQ,3338,GSP,DFW,579,1,Security
316,2015-09-18,MQ,3350,RDU,JFK,678,0,
317,2015-08-06,MQ,3355,CVG,MIA,880,0,
318,2015-09-14,MQ,3251,MHK,DFW,152,0,
319,2015-05-29,MQ,3377,MOB,DFW,437,0,
320,2015-08-29,MQ,3441,TLH,DFW,861,0,
321,2015-11-27,MQ,3540,PNS,MIA,671,0,
322,2015-03-11,MQ,3488,BHM,MIA,126,1,Weather
323,2015-07-16,MQ,3597,CVG,DFW,308,1,Security
324,2015-01-03,MQ,3611,CAE,DFW,491,1,Weather
325,2015-04-16,MQ,3678,TXK,DFW,767,1,Security
326,2015-08-10,NK,188,OAK,LAS,107,0,
327,2015-11-04,NK,925,DFW,OAK,894,0,
328,2015-08-03,NK,943,ACY,RSW,916,1,Security
329,2015-06-04,NK,316,DTW,LGA,469,0,
330,2015-08-07,NK,972,DFW,FLL,619,0,
331,2015-12-26,OO,2622,SMF,LAX,919,0,
332,2015-11-05,OO,6360,RAP,DEN,930,0,
333,2015-06-22,OO,6369,TUS,SFO,269,1,Airline/Carrier
334,2015-03-12,OO,5330,EAU,ORD,443,0,
335,2015-07-23,OO,5292,DLH,ORD,79,0,
336,2015-11-03,OO,6276,FSD,ORD,103,1,Weather
337,2015-03-27,OO,6235,AUS,SFO,905,0,
338,2015-09-01,OO,3489,FAT,SEA,808,0,
339,2015-04-19,OO,3461,ONT,PDX,828,0,
340,2015-07-13,OO,7423,INL,BRD,323,0,
341,2015-09-08,OO,5318,CMX,ORD,539,0,
342,2015-08-28,OO,5445,SMF,SFO,794,0,
343,2015-12-09,OO,5242,BOI,LAX,38,0,
344,2015-09-26,OO,5462,SPI,ORD,172,0,
345,2015-05-13,OO,5466,CLD,LAX,761,0,
346,2015-10-23,OO,5550,COD,DEN,352,0,
347,2015-10-13,OO,5574,FAT,SFO,298,0,
348,2015-06-14,MQ,3221,CMH,MIA,304,0,
349,2015-12-11,MQ,3224,LRD,DFW,605,0,
350,2015-02-07,OO,5522,PSC,DEN,869,0,
351,2015-07-23,OO,5592,CPR,DEN,598,0,
352,2015-02-04,OO,5604,ACV,SFO,887,0,
353,2015-12-22,OO,5170,DAL,IAH,464,1,Security
354,2015-07-29,OO,5429,PAH,ORD,479,0,
355,2015-03-25,OO,5435,PSC,SFO,604,1,Airline/Carrier
356,2015-12-19,OO,6378,CID,ORD,659,0,
357,2015-09-08,OO,6401,EUG,SFO,77,0,
358,2015-11-12,OO,6332,DFW,DEN,836,0,
359,2015-03-18,OO,6346,MRY,SFO,567,0,
360,2015-04-01,OO,6465,SLC,LAX,506,0,
361,2015-04-20,OO,7392,ESC,DTW,972,0,
362,2015-02-24,OO,6403,MFR,SFO,345,0,
363,2015-02-10,OO,6497,FAT,DEN,761,0,
364,2015-02-25,UA,576,SFO,EWR,515,0,
365,2015-01-27,UA,1410,LAS,IAH,345,1,Weather
366,2015-10-31,UA,1689,EWR,SFO,866,0,
367,2015-09-05,EV,6020,ISN,DEN,866,0,
368,2015-09-17,HA,113,HNL,LIH,806,0,
369,2015-10-10,OO,5629,PSP,SFO,559,1,Security
370,2015-01-01,OO,6420,PSP,DEN,575,0,
371,2015-11-25,UA,223,SAT,IAH,790,1,Airline/Carrier
372,2015-07-27,UA,996,LAX,EWR,363,0,
373,2015-03-12,UA,1721,LAX,SFO,422,0,
374,2015-04-01,EV,4390,CLE,IAD,939,0,
375,2015-05-05,EV,5732,CAE,IAD,655,0,
376,2015-12-13,F9,756,PHX,DEN,520,0,
377,2015-03-02,UA,234,SMF,IAH,709,0,
378,2015-11-23,UA,415,JFK,SFO,706,0,
379,2015-01-12,US,647,BOS,PHX,165,0,
380,2015-07-23,US,829,BOS,CLT,256,0,
381,2015-12-28,US,1743,DTW,MIA,88,0,
382,2015-06-11,UA,1023,FLL,EWR,658,0,
383,2015-03-09,WN,2505,GEG,DEN,870,0,
384,2015-09-11,WN,239,SAT,STL,602,1,Weather
385,2015-11-01,WN,474,ONT,DEN,661,0,
386,2015-05-27,UA,1245,CLE,EWR,672,0,
387,2015-11-20,US,560,DFW,PHX,697,0,
388,2015-03-27,AA,310,MFE,DFW,138,0,
389,2015-07-09,AA,375,STL,DFW,794,0,
390,2015-07-12,AA,378,SJU,MIA,214,0,
391,2015-07-22,AA,1291,MKE,DFW,817,0,
392,2015-10-02,AS,320,SEA,SFO,126,0,
393,2015-06-13,AS,602,SEA,LAS,443,0,
394,2015-05-27,B6,233,BTV,JFK,449,0,
395,2015-10-13,B6,601,JFK,FLL,574,0,
396,2015-10-20,B6,735,SFO,LGB,260,0,
397,2015-05-26,B6,922,PBI,BOS,138,0,
398,2015-02-09,B6,1184,MCO,JFK,457,0,
399,2015-07-10,B6,1434,SJU,MCO,396,1,Security
400,2015-06-21,DL,1065,BDL,ATL,770,0,
401,2015-07-22,DL,1456,RDU,ATL,45,0,
402,2015-05-02,DL,1723,SFO,SLC,711,0,
403,2015-01-14,EV,4642,TUS,IAH,8,0,
404,2015-02-10,EV,4928,PIA,ATL,772,0,
405,2015-10-05,F9,609,IND,DEN,32,0,
406,2015-02-18,F9,821,MCI,DEN,596,0,
407,2015-03-03,F9,133,DFW,DEN,194,0,
408,2015-12-09,MQ,2881,FSM,DFW,69,1,Airline/Carrier
409,2015-07-20,MQ,2771,AEX,DFW,638,0,
410,2015-12-30,MQ,3288,SPS,DFW,427,0,
411,2015-09-06,MQ,3328,ACT,DFW,36,1,Security
412,2015-07-11,MQ,3408,SJT,DFW,138,0,
413,2015-02-22,MQ,3643,JAN,DFW,633,0,
414,2015-11-29,HA,286,HNL,OGG,37,1,Airline/Carrier
415,2015-09-09,OO,5181,OKC,LAX,978,0,
416,2015-10-29,OO,6499,FAR,DEN,265,1,Security
417,2015-05-06,UA,1160,SFO,IAH,745,0,
418,2015-02-04,UA,1601,EWR,FLL,795,0,
419,2015-10-12,OO,6461,MTJ,DEN,446,0,
420,2015-08-11,NK,606,RSW,DTW,433,0,
421,2015-09-04,OO,7389,GCC,RKS,59,1,Airline/Carrier
422,2015-09-26,UA,220,MSY,EWR,331,1,Security
423,2015-01-27,UA,654,ORD,MCO,963,0,
424,2015-09-03,EV,6119,RIC,ORD,888,0,
425,2015-01-15,OO,5456,RDM,SFO,944,0,
426,2015-02-14,HA,205,OGG,HNL,840,0,
427,2015-01-28,OO,4494,SJC,SLC,903,0,
428,2015-06-11,OO,5370,ORD,MBS,196,1,Security
429,2015-02-05,US,1709,EWR,CLT,272,0,
430,2015-03-14,WN,828,PHX,BWI,665,0,
431,2015-01-24,UA,1632,SEA,IAD,128,0,
432,2015-11-24,UA,1725,LAS,SFO,596,1,Security
433,2015-11-14,AA,168,DFW,MIA,961,0,
434,2015-04-16,AA,1315,BNA,DFW,343,0,
435,2015-12-11,AA,1336,PHX,DFW,784,0,
436,2015-10-21,AA,1619,BOS,MIA,799,0,
437,2015-09-25,AA,1686,LAX,STL,69,0,
438,2015-01-11,AS,345,OAK,SEA,428,0,
439,2015-11-22,AS,454,SEA,LAX,672,0,
440,2015-03-06,B6,57,BOS,IAD,861,0,
441,2015-01-05,B6,24,LAX,JFK,870,0,
442,2015-11-15,B6,1279,DCA,FLL,873,0,
443,2015-07-05,B6,1836,DTW,BOS,678,0,
444,2015-03-02,AA,1361,BNA,LAX,137,0,
445,2015-05-04,DL,327,PHL,ATL,542,0,
446,2015-05-13,DL,1492,PHX,MSP,857,1,Security
447,2015-01-09,B6,1554,SJU,FLL,54,0,
448,2015-02-22,EV,4556,VPS,IAH,798,0,
449,2015-01-25,EV,6071,GUC,DEN,480,0,
450,2015-07-24,F9,1252,MIA,LGA,651,0,
451,2015-03-25,MQ,3323,RIC,MIA,314,0,
452,2015-12-11,MQ,3601,DTW,LGA,637,1,Security
453,2015-04-27,MQ,3551,ORF,MIA,697,0,
454,2015-12-16,OO,5572,MOT,DEN,150,0,
455,2015-02-17,AA,1312,STL,MIA,500,0,
456,2015-01-17,B6,269,BOS,FLL,912,0,
457,2015-10-05,EV,4506,MLU,IAH,976,0,
458,2015-12-21,OO,5337,MAF,DEN,564,0,
459,2015-11-25,NK,562,LAX,LAS,669,0,
460,2015-05-07,UA,416,PDX,ORD,600,0,
461,2015-06-27,B6,1403,JFK,SJU,375,0,
462,2015-08-24,HA,107,KOA,HNL,326,0,
463,2015-10-24,OO,4681,EUG,SLC,668,0,
464,2015-04-20,US,1754,RNO,PHX,367,0,
465,2015-04-01,US,1789,PHX,CLT,215,0,
466,2015-03-26,WN,1966,CMH,ATL,16,0,
467,2015-07-09,WN,2351,HOU,ATL,631,1,Security
468,2015-05-08,WN,137,HOU,PHX,251,0,
469,2015-07-16,AA,1125,DTW,DFW,968,0,
470,2015-11-22,AA,1165,BOS,JFK,437,0,
471,2015-10-29,AA,1581,DFW,DCA,138,0,
472,2015-10-28,AA,2253,MSP,DFW,666,1,Airline/Carrier
473,2015-02-13,AS,504,SEA,SNA,956,0,
474,2015-06-07,B6,99,BDL,DCA,447,0,
475,2015-12-22,B6,962,SJU,BOS,488,1,Security
476,2015-04-03,B6,2006,FLL,EWR,394,0,
477,2015-07-13,DL,828,MOB,ATL,898,0,
478,2015-03-29,DL,978,SAN,SLC,176,0,
479,2015-01-07,DL,985,LAS,SLC,20,0,
480,2015-12-15,DL,1275,DCA,DTW,439,1,Weather
481,2015-04-06,DL,2384,SMF,SLC,766,0,
482,2015-07-01,DL,1610,DEN,DTW,63,0,
483,2015-05-24,DL,1866,SFO,ATL,933,0,
484,2015-03-16,DL,1919,LGA,MSP,73,0,
485,2015-09-02,EV,2522,LAW,DFW,790,0,
486,2015-03-19,EV,2512,BRO,DFW,99,0,
487,2015-12-19,EV,2572,PIB,MEI,117,0,
488,2015-12-14,EV,4531,CHS,IAH,954,0,
489,2015-02-07,EV,4655,MEM,IAH,702,1,Weather
490,2015-10-22,EV,5123,MGM,ATL,44,0,
491,2015-04-29,F9,582,SLC,DEN,317,1,Security
