gender,country,facebook_game,age,browser,total_playing_hours,total_money_spent
Male,France,Township,22,Chrome,1,9214.59
Male,United States,Zynga Poker,25,Opera,79,539.96
Male,France,Candy Crush Saga,26,Safari,64,1851.17
Male,France,Candy Crush Saga,22,Safari,61,5931.75
Male,France,Township,27,Opera,22,7237.66
Female,Canada,Township,25,Internet Explorer,16,9305.74
Male,United States,Candy Crush Saga,29,Opera,59,5738.78
Female,Canada,Zynga Poker,23,Safari,49,2114.69
Female,United States,Zynga Poker,19,Safari,79,9823.61
Female,France,Candy Crush Saga,18,Safari,53,7476.2
Male,United States,Zynga Poker,23,Safari,40,3857.67
Male,Canada,Township,23,Chrome,46,4701.54
Female,United States,Township,25,Chrome,86,8399.51
Male,France,Township,23,Opera,41,7693.19
Male,United States,Township,27,Safari,91,3204.83
Male,United States,Zynga Poker,23,Opera,66,1264.12
Male,United States,Candy Crush Saga,28,Internet Explorer,78,4046.39
Female,France,Zynga Poker,26,Internet Explorer,89,9569.39
Male,United States,Township,26,Chrome,58,7718.18
Male,United States,Candy Crush Saga,28,Safari,37,5714.31
Female,United States,Candy Crush Saga,28,Chrome,12,9682.96
Male,United States,Township,19,Internet Explorer,3,6992.36
Female,United States,Township,27,Safari,26,4913.58
Male,Canada,Township,18,Safari,46,6685.18
Female,United States,Candy Crush Saga,27,Opera,66,9406.21
Female,United States,Zynga Poker,18,Opera,94,8521.59
Male,France,Zynga Poker,30,Opera,83,5565.26
Female,United States,Candy Crush Saga,25,Safari,97,4984.3
Male,Canada,Zynga Poker,26,Chrome,52,8612.48
Male,United States,Zynga Poker,20,Opera,17,2571.56
Male,Israel,Township,22,Chrome,28,4608.11
Female,Canada,Township,27,Safari,33,2159.47
Male,France,Township,21,Chrome,76,4235.19
Male,France,Candy Crush Saga,24,Internet Explorer,24,4644.55
Female,United States,Township,23,Safari,21,3328.98
Male,France,Township,21,Internet Explorer,37,9845.59
Male,France,Township,23,Safari,63,1935.94
Male,France,Township,20,Internet Explorer,56,7817.05
Male,United States,Township,18,Opera,20,187.79
Male,United States,Township,29,Safari,87,5044.4
Male,France,Zynga Poker,25,Opera,34,1845.76
Male,France,Candy Crush Saga,19,Chrome,30,8987.37
Female,France,Township,29,Chrome,24,532.45
Male,Canada,Candy Crush Saga,18,Chrome,34,9676.54
Female,France,Township,27,Chrome,67,4609.04
Male,France,Candy Crush Saga,21,Internet Explorer,13,7796.54
Female,France,Zynga Poker,24,Safari,97,9209.46
Female,Canada,Candy Crush Saga,30,Opera,35,8086.75
Female,France,Township,27,Opera,19,2796.78
Male,United States,Township,27,Internet Explorer,71,7271.05
Female,France,Zynga Poker,22,Opera,99,2238.52
Male,France,Zynga Poker,20,Chrome,22,2405.11
Female,Canada,Zynga Poker,24,Safari,80,5907.01
Male,United States,Candy Crush Saga,20,Internet Explorer,12,9692.49
Male,United States,Township,19,Opera,93,1918.14
Female,France,Township,20,Chrome,89,4573.0
Male,France,Zynga Poker,24,Safari,41,1518.13
Male,United States,Candy Crush Saga,27,Safari,7,6432.43
Male,Canada,Township,21,Safari,14,1903.74
Female,France,Candy Crush Saga,20,Internet Explorer,11,2881.9
Male,Canada,Candy Crush Saga,30,Safari,61,5800.14
Male,France,Zynga Poker,27,Chrome,17,8781.19
Male,United States,Zynga Poker,19,Opera,20,3424.43
Male,France,Zynga Poker,19,Safari,86,5423.34
Male,United States,Zynga Poker,29,Chrome,67,3254.88
Male,France,Candy Crush Saga,27,Chrome,44,7361.94
Male,United States,Candy Crush Saga,29,Chrome,2,9494.81
Male,France,Township,23,Safari,87,354.29
Female,Israel,Candy Crush Saga,24,Opera,46,5170.03
Female,United States,Zynga Poker,18,Opera,57,2721.01
Male,France,Candy Crush Saga,22,Chrome,3,6566.37
Female,Canada,Candy Crush Saga,30,Chrome,50,2818.66
Female,United States,Candy Crush Saga,24,Opera,58,3898.91
Male,Canada,Township,19,Internet Explorer,30,2370.45
Male,France,Township,22,Chrome,8,3719.33
Male,United States,Township,21,Chrome,50,4613.52
Female,France,Zynga Poker,23,Chrome,20,4066.08
Male,France,Zynga Poker,18,Chrome,76,7879.3
Female,Canada,Township,27,Chrome,10,7117.76
Male,Canada,Zynga Poker,21,Internet Explorer,7,8967.07
Male,Israel,Zynga Poker,25,Chrome,13,8994.98
Female,Canada,Township,27,Opera,85,6424.5
Male,United States,Candy Crush Saga,23,Internet Explorer,24,7938.94
Male,United States,Zynga Poker,20,Opera,4,8911.38
Male,United States,Township,29,Opera,77,1913.3
Female,United States,Township,23,Opera,24,7021.44
Male,Canada,Zynga Poker,24,Safari,45,2299.2
Female,United States,Candy Crush Saga,22,Safari,3,2413.56
Female,Canada,Zynga Poker,22,Opera,79,7221.75
Female,France,Township,22,Safari,23,5984.44
Male,France,Zynga Poker,22,Opera,49,1499.23
Female,Israel,Township,30,Opera,22,2257.9
Male,France,Township,20,Chrome,23,9167.09
Male,Canada,Candy Crush Saga,24,Safari,80,1046.07
Female,United States,Candy Crush Saga,19,Safari,21,4729.11
Female,France,Zynga Poker,28,Safari,71,5727.49
Female,France,Zynga Poker,20,Opera,52,4316.29
Female,Canada,Zynga Poker,20,Chrome,8,7193.75
Male,France,Zynga Poker,25,Internet Explorer,98,9661.48
Female,France,Zynga Poker,24,Internet Explorer,23,8811.21
Female,United States,Township,19,Chrome,96,3251.33
Male,France,Township,29,Safari,7,6630.69
Female,United States,Candy Crush Saga,20,Opera,80,7943.48
Female,United States,Zynga Poker,26,Internet Explorer,12,978.93
Male,France,Zynga Poker,18,Safari,22,9747.9
Male,United States,Candy Crush Saga,22,Chrome,51,465.47
Male,United States,Township,20,Safari,83,2780.14
Male,United States,Candy Crush Saga,25,Safari,59,1657.42
Male,France,Zynga Poker,25,Internet Explorer,74,4080.79
Female,France,Township,29,Internet Explorer,67,9108.76
Female,United States,Zynga Poker,27,Safari,14,8421.52
Female,France,Candy Crush Saga,27,Internet Explorer,86,713.48
Female,France,Zynga Poker,21,Chrome,19,3015.01
Female,France,Zynga Poker,27,Internet Explorer,65,2355.2
Male,United States,Zynga Poker,20,Internet Explorer,13,1309.45
Male,France,Zynga Poker,23,Safari,99,8093.71
Female,United States,Zynga Poker,26,Chrome,34,4378.08
Male,Canada,Candy Crush Saga,29,Chrome,14,7302.37
Female,United States,Candy Crush Saga,24,Chrome,64,9113.19
Male,United States,Zynga Poker,22,Chrome,83,1484.8
Male,United States,Township,27,Chrome,14,8687.67
Female,United States,Candy Crush Saga,27,Safari,58,5162.53
Male,Canada,Candy Crush Saga,25,Opera,57,6431.0
Male,France,Candy Crush Saga,21,Safari,71,6887.57
Male,France,Zynga Poker,25,Internet Explorer,4,2987.0
Male,Canada,Township,25,Safari,7,5896.55
Female,France,Township,24,Safari,44,9701.27
Female,France,Zynga Poker,20,Opera,44,3094.94
Female,United States,Candy Crush Saga,29,Opera,54,7449.91
Male,United States,Zynga Poker,23,Safari,35,5998.37
Male,France,Township,29,Chrome,18,1416.6
Female,Canada,Zynga Poker,28,Safari,97,5954.94
Female,United States,Candy Crush Saga,18,Internet Explorer,55,9143.94
Female,France,Zynga Poker,22,Safari,65,3798.65
Female,Canada,Township,24,Safari,96,5735.75
Female,France,Zynga Poker,20,Opera,21,5473.28
Male,France,Zynga Poker,18,Chrome,76,6859.12
Female,France,Candy Crush Saga,30,Opera,20,2967.71
Female,Canada,Zynga Poker,28,Opera,86,9739.83
Male,France,Candy Crush Saga,27,Safari,67,6494.9
Male,United States,Zynga Poker,21,Internet Explorer,32,1384.93
Female,United States,Township,21,Internet Explorer,73,6275.57
Male,Canada,Zynga Poker,30,Opera,91,2878.86
Male,France,Township,24,Internet Explorer,68,6104.78
Male,France,Zynga Poker,24,Internet Explorer,13,1434.38
Male,Canada,Zynga Poker,23,Internet Explorer,28,1974.95
Female,United States,Zynga Poker,30,Internet Explorer,38,7596.92
Female,Canada,Candy Crush Saga,20,Chrome,41,7206.92
Female,United States,Township,23,Safari,77,6349.12
Male,France,Zynga Poker,28,Chrome,2,4946.11
Female,France,Township,24,Opera,88,9346.87
Male,Canada,Township,28,Safari,12,3590.6
Female,Canada,Candy Crush Saga,23,Internet Explorer,100,7484.68
Male,United States,Candy Crush Saga,29,Internet Explorer,13,4733.18
Male,United States,Zynga Poker,20,Chrome,45,9704.37
Male,United States,Township,24,Safari,25,5152.55
Male,United States,Township,20,Internet Explorer,8,6446.74
Male,Canada,Zynga Poker,28,Opera,96,4079.9
Female,France,Candy Crush Saga,20,Opera,66,5918.44
Female,Canada,Township,21,Opera,53,2813.9
Male,United States,Township,18,Internet Explorer,39,6685.24
Male,France,Township,22,Opera,65,1146.88
Female,United States,Township,26,Chrome,5,1480.14
Female,Canada,Candy Crush Saga,19,Opera,15,9314.2
Female,Canada,Zynga Poker,18,Safari,40,4036.45
Female,United States,Candy Crush Saga,20,Opera,98,4090.71
Male,Canada,Candy Crush Saga,24,Safari,52,5922.29
Female,United States,Township,18,Opera,76,4091.58
Male,Israel,Zynga Poker,23,Safari,3,5814.32
Male,United States,Candy Crush Saga,27,Internet Explorer,97,7771.8
Male,France,Zynga Poker,25,Chrome,36,9407.62
Female,United States,Candy Crush Saga,26,Chrome,48,5067.62
Female,France,Township,20,Internet Explorer,32,663.01
Male,United States,Zynga Poker,22,Safari,51,9783.6
Male,France,Candy Crush Saga,19,Opera,69,3961.43
Male,France,Township,30,Internet Explorer,25,6660.27
Female,Canada,Township,18,Internet Explorer,9,8298.31
Female,Canada,Candy Crush Saga,26,Opera,46,7246.04
Male,France,Township,19,Opera,52,9512.69
Male,France,Zynga Poker,20,Chrome,93,4275.73
Female,United States,Candy Crush Saga,18,Internet Explorer,32,1733.82
Female,France,Township,19,Internet Explorer,39,9405.35
Female,United States,Zynga Poker,18,Safari,61,4483.55
Male,Canada,Zynga Poker,23,Opera,28,2700.76
Male,France,Zynga Poker,19,Internet Explorer,92,6174.4
Female,France,Candy Crush Saga,27,Internet Explorer,4,954.16
Male,France,Township,25,Safari,46,8444.14
Male,France,Zynga Poker,30,Safari,90,1853.98
Male,France,Township,22,Internet Explorer,20,5898.52
Female,France,Zynga Poker,24,Chrome,23,3502.83
Female,France,Zynga Poker,21,Internet Explorer,64,7793.5
Female,United States,Township,30,Safari,35,1653.99
Female,United States,Township,19,Internet Explorer,66,2452.83
Female,Canada,Candy Crush Saga,29,Chrome,63,7315.67
Male,France,Zynga Poker,30,Chrome,58,2893.55
Female,France,Zynga Poker,19,Internet Explorer,84,2996.32
Female,France,Township,18,Internet Explorer,60,1179.7
Female,United States,Zynga Poker,25,Chrome,5,3066.22
Female,United States,Township,28,Internet Explorer,78,9434.71
Male,France,Candy Crush Saga,21,Internet Explorer,22,2968.57
Female,France,Candy Crush Saga,30,Chrome,58,5704.69
Male,Canada,Township,26,Chrome,40,3911.04
Male,France,Township,22,Opera,41,749.14
Female,Canada,Candy Crush Saga,24,Chrome,64,6540.18
Female,France,Zynga Poker,25,Safari,93,4819.64
Male,Canada,Candy Crush Saga,23,Internet Explorer,68,5102.93
Female,United States,Candy Crush Saga,21,Safari,94,7530.76
Male,France,Township,19,Chrome,63,9390.7
Female,Canada,Zynga Poker,20,Internet Explorer,87,7323.46
Female,France,Township,30,Chrome,93,6489.28
Male,Canada,Township,21,Safari,61,2734.41
Female,United States,Candy Crush Saga,27,Chrome,88,9875.8
Female,Israel,Candy Crush Saga,28,Internet Explorer,7,5490.81
Female,France,Township,25,Opera,56,857.87
Female,France,Township,27,Internet Explorer,60,7567.69
Male,France,Candy Crush Saga,21,Internet Explorer,92,2175.57
Male,United States,Zynga Poker,22,Chrome,85,1693.52
Female,France,Candy Crush Saga,25,Chrome,98,6336.12
Female,United States,Township,29,Opera,80,4956.11
Female,France,Township,18,Safari,37,1450.8
Female,United States,Zynga Poker,25,Opera,12,7981.22
Male,United States,Zynga Poker,19,Internet Explorer,76,8552.22
Male,Israel,Zynga Poker,26,Opera,16,938.82
Female,Canada,Township,28,Chrome,44,9268.85
Female,United States,Candy Crush Saga,26,Safari,63,6550.01
Female,Israel,Candy Crush Saga,30,Opera,79,2253.71
Male,Canada,Zynga Poker,20,Chrome,65,5926.28
Female,France,Township,19,Opera,40,8555.65
Female,United States,Candy Crush Saga,21,Opera,48,608.48
Male,United States,Township,27,Internet Explorer,67,7819.86
Male,France,Zynga Poker,29,Chrome,53,5998.57
Female,United States,Township,24,Opera,77,7333.75
Female,United States,Candy Crush Saga,26,Safari,58,3945.22
Male,United States,Candy Crush Saga,22,Chrome,7,8926.81
Male,France,Candy Crush Saga,19,Opera,29,4656.63
Female,France,Zynga Poker,27,Chrome,58,9353.92
Male,United States,Zynga Poker,20,Internet Explorer,23,2723.51
Male,France,Candy Crush Saga,30,Internet Explorer,25,898.16
Male,France,Candy Crush Saga,21,Safari,4,8527.22
Female,Canada,Township,19,Safari,9,2440.77
Female,Canada,Zynga Poker,22,Opera,11,6752.71
Male,France,Zynga Poker,26,Safari,22,4276.77
Female,United States,Zynga Poker,20,Safari,89,8753.42
Male,France,Candy Crush Saga,22,Chrome,6,5408.63
Female,United States,Zynga Poker,25,Safari,43,9259.34
Male,United States,Township,19,Internet Explorer,58,2267.01
Male,Canada,Township,24,Internet Explorer,15,8488.75
Female,Canada,Candy Crush Saga,26,Safari,24,2125.67
Male,France,Township,19,Internet Explorer,22,1342.93
Female,Israel,Candy Crush Saga,19,Chrome,9,9481.3
Female,France,Zynga Poker,28,Safari,51,5274.26
Male,United States,Candy Crush Saga,23,Opera,100,5435.7
Male,France,Zynga Poker,19,Safari,23,9718.02
Male,France,Candy Crush Saga,25,Chrome,41,7080.46
Male,Canada,Zynga Poker,30,Safari,39,6271.4
Male,France,Zynga Poker,30,Opera,45,5622.51
Male,France,Zynga Poker,20,Opera,8,1931.56
Female,United States,Zynga Poker,19,Opera,36,1533.45
Female,United States,Zynga Poker,21,Internet Explorer,83,6836.51
Female,United States,Candy Crush Saga,22,Safari,49,4628.51
Female,France,Candy Crush Saga,22,Chrome,2,2548.17
Female,Israel,Township,27,Chrome,39,6917.33
Female,France,Zynga Poker,30,Safari,67,1190.31
Male,United States,Zynga Poker,22,Chrome,80,3918.98
Female,United States,Township,19,Chrome,39,4542.62
Male,France,Township,29,Opera,10,3866.61
Male,United States,Candy Crush Saga,21,Opera,91,8315.68
Male,France,Township,22,Chrome,43,6959.86
Female,United States,Candy Crush Saga,30,Chrome,14,8647.98
Male,United States,Township,26,Opera,77,1776.57
Female,France,Township,20,Opera,22,541.87
Male,Canada,Candy Crush Saga,19,Safari,56,8861.84
Female,France,Township,18,Internet Explorer,52,697.05
Male,Canada,Zynga Poker,29,Opera,23,6480.18
Male,France,Zynga Poker,19,Chrome,22,3257.3
Male,France,Township,20,Opera,42,8697.5
Female,France,Candy Crush Saga,29,Opera,88,6583.46
Male,United States,Township,30,Safari,23,2030.28
Female,France,Township,29,Opera,10,4325.78
Male,France,Township,22,Safari,97,546.18
Female,Canada,Zynga Poker,26,Internet Explorer,16,8497.87
Male,United States,Candy Crush Saga,18,Internet Explorer,39,3554.9
Female,United States,Zynga Poker,26,Chrome,26,237.49
Female,Canada,Candy Crush Saga,29,Chrome,11,1436.51
Female,France,Candy Crush Saga,24,Internet Explorer,47,8220.75
Male,United States,Township,26,Internet Explorer,54,8572.98
Male,United States,Zynga Poker,21,Opera,51,9384.78
Male,Canada,Township,28,Opera,30,6367.81
Male,United States,Candy Crush Saga,26,Internet Explorer,69,2920.99
Male,Canada,Zynga Poker,19,Chrome,43,9852.07
Male,France,Candy Crush Saga,21,Chrome,9,2273.85
Male,France,Zynga Poker,21,Opera,97,1935.22
Female,United States,Township,27,Opera,40,6852.86
Female,United States,Zynga Poker,27,Safari,79,3932.02
Male,France,Candy Crush Saga,28,Chrome,38,4474.39
Male,United States,Township,29,Chrome,53,9742.08
Female,United States,Candy Crush Saga,25,Internet Explorer,83,6485.65
Female,United States,Candy Crush Saga,23,Safari,60,4850.26
Female,United States,Candy Crush Saga,22,Safari,86,2819.33
Male,United States,Zynga Poker,27,Chrome,54,5020.78
Male,France,Candy Crush Saga,19,Opera,23,1377.84
Male,France,Candy Crush Saga,29,Opera,99,6503.49
Female,United States,Township,26,Safari,41,6724.93
Female,France,Zynga Poker,19,Safari,90,3805.77
Male,United States,Candy Crush Saga,18,Chrome,3,5159.32
Male,France,Candy Crush Saga,21,Opera,39,2017.07
Male,United States,Zynga Poker,27,Safari,66,3220.01
Male,France,Candy Crush Saga,22,Opera,67,8961.86
Male,Canada,Township,19,Opera,57,5717.41
Female,United States,Candy Crush Saga,23,Safari,16,7267.04
Female,United States,Township,22,Chrome,61,3684.28
Female,United States,Zynga Poker,22,Opera,96,8714.52
Female,United States,Zynga Poker,28,Safari,88,1869.9
Female,France,Zynga Poker,24,Internet Explorer,47,2498.53
Male,France,Candy Crush Saga,23,Internet Explorer,77,5620.38
Male,France,Candy Crush Saga,23,Chrome,5,1404.88
Female,France,Zynga Poker,23,Internet Explorer,51,4426.47
Male,France,Township,23,Opera,16,9760.55
Female,France,Candy Crush Saga,28,Opera,65,9399.36
Male,France,Candy Crush Saga,20,Chrome,97,6330.3
Female,Israel,Candy Crush Saga,21,Opera,29,3522.99
Female,United States,Zynga Poker,29,Internet Explorer,77,9107.11
Male,France,Zynga Poker,26,Safari,30,3124.89
Male,Canada,Candy Crush Saga,20,Opera,48,4472.45
Female,France,Township,19,Chrome,76,6803.19
Male,United States,Candy Crush Saga,30,Opera,84,6899.61
Male,United States,Township,24,Internet Explorer,52,2822.62
Male,France,Zynga Poker,25,Opera,53,6062.36
Male,Canada,Candy Crush Saga,21,Safari,56,4194.13
Male,Israel,Township,30,Safari,21,7964.15
Male,United States,Township,28,Opera,83,961.08
Male,United States,Zynga Poker,20,Opera,92,8765.04
Female,France,Candy Crush Saga,19,Internet Explorer,69,1671.58
Male,France,Candy Crush Saga,29,Internet Explorer,4,8493.05
Female,United States,Candy Crush Saga,22,Safari,8,7548.7
Female,United States,Candy Crush Saga,21,Chrome,10,4229.76
Female,Canada,Candy Crush Saga,22,Opera,44,7620.8
Male,United States,Zynga Poker,20,Opera,1,6768.69
Male,United States,Candy Crush Saga,21,Opera,98,3096.71
Male,Canada,Candy Crush Saga,21,Opera,5,6489.45
Female,France,Candy Crush Saga,23,Opera,1,1701.06
Female,Canada,Candy Crush Saga,24,Opera,52,2976.62
Female,France,Township,25,Safari,77,2995.48
Female,France,Township,23,Opera,62,5924.25
Male,France,Zynga Poker,21,Safari,92,2710.52
Male,France,Candy Crush Saga,18,Opera,45,496.32
Male,Canada,Candy Crush Saga,26,Internet Explorer,62,3977.18
Male,United States,Zynga Poker,27,Internet Explorer,10,6634.55
Female,France,Township,19,Chrome,2,9437.52
Male,France,Zynga Poker,19,Safari,79,1333.58
Female,Canada,Township,26,Safari,36,5350.76
Male,United States,Zynga Poker,18,Opera,26,5749.08
Female,United States,Zynga Poker,29,Chrome,6,2592.2
Female,France,Township,26,Chrome,10,7338.83
Male,France,Township,19,Internet Explorer,85,5953.17
Male,United States,Township,25,Internet Explorer,31,6516.32
Female,United States,Candy Crush Saga,28,Opera,82,7872.1
Male,United States,Candy Crush Saga,25,Opera,18,1908.32
Male,France,Zynga Poker,22,Internet Explorer,1,6190.11
Male,Canada,Township,18,Chrome,5,2011.48
Male,France,Candy Crush Saga,26,Safari,20,3121.52
Male,United States,Candy Crush Saga,19,Opera,71,2803.94
Female,United States,Zynga Poker,28,Opera,32,3219.59
Male,Canada,Township,18,Opera,46,2548.6
Female,United States,Zynga Poker,19,Safari,28,5479.41
Male,United States,Township,22,Chrome,13,5585.45
Female,Canada,Township,27,Internet Explorer,25,7625.7
Male,Canada,Township,23,Internet Explorer,66,8997.96
