Villain,First,Last,DoctorNumbers,DoctorActors,Episodes,LogStories,Stories,Duration,Motivation_Long,Motivation_Short,Motivation_Med,Titles
Roboforms,2005,2010,"10,11","David Tennant, Matt Smith",3,0.602059991,3,6,Scavengers/Imprison the Doctor,Domination,Capture others,"The Christmas Invasion, The Runaway Bride, The Pandorica Opens (see Alliance above)"
Ingiger,1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Control alien species,Domination,Control,The Curse of Fenric
Kandyman,1988,1988,7,Sylvester McCoy,3,0.301029996,1,1,Dictatorship/enslavement,Domination,Control,The Happiness Patrol
"Number 79B, Alckman Road",2010,2010,11,Matt Smith,1,0.301029996,1,1,Capture humans,Domination,Control,The Lodger
Lilith,2007,2007,10,David Tennant,1,0.301029996,1,1,Control Humans,Domination,Control,The Shakespeare Code
Editor,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Control Humans,Domination,Control,The Long Game
Jagrafess,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Control Humans,Domination,Control,The Long Game
Fenric,1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Control Humans,Domination,Control,The Curse of Fenric
Keller Machine,1971,1971,3,Jon Pertwee,6,0.301029996,1,1,Control Humans,Domination,Control,The mind of Evil
Animus,1965,1965,1,William Hartnell,6,0.301029996,1,1,Control Humans,Domination,Control,The Web Planet
Primord,1970,1970,3,Jon Pertwee,7,0.301029996,1,1,Control Humans,Domination,Control,Inferno
Eknodine,2010,2010,11,Matt Smith,1,0.301029996,1,1,"Control humans, survival",Domination,Control,Amy's Choice
Davinadroid,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Controll Humans,Domination,Control,Bad Wolf   
"Hartigan, Mercy",2008,2008,10,David Tennant,1,0.301029996,1,1,Human dictatorship/enslavement,Domination,Control,The Next Doctor
Helen A,1988,1988,7,Sylvester McCoy,3,0.301029996,1,1,Human dictatorship/enslavement,Domination,Control,The Happiness Patrol
Collector (the),1977,1977,4,Tom Baker,4,0.301029996,1,1,Human dictatorship/enslavement,Domination,Control,The Sun Makers
Celestial Toymaker,1966,1966,1,William Hartnell,4,0.301029996,1,1,Kill/ enslave humans,Domination,Control,Celestial Toymaker
Family of Blood,2007,2007,10,David Tennant,2,0.301029996,1,1,Kill/take control of humans and the Doctor,Domination,Control,Human Nature/The Family of Blood
Peg dolls,2011,2011,11,Matt Smith,1,0.301029996,1,1,Turn humans into dolls,Domination,Control,Night terrors
Torajii System Sun,2007,2007,10,David Tennant,1,0.301029996,1,1,Posess crew members,Domination,Control,42
Rorvik,1980,1980,4,Tom Baker,4,0.301029996,1,1,Slave Trader,Domination,Control,Warriors' Gate
Oracle (the),1978,1978,4,Tom Baker,4,0.301029996,1,1,Control of alien species,Domination,Control,Underworld
Eldrad,1976,1976,4,Tom Baker,4,0.301029996,1,1,Control of own alien species,Domination,Control,The Hand of Fear
Plasmavores (Florence Finnegan),2007,2007,10,David Tennant,1,0.301029996,1,1,Drink blood,Domination,Control,Smith and Jones
Aukon (one of Three who rule),1980,1980,4,Tom Baker,4,0.301029996,1,1,"Drink blood, control humans",Domination,Control,State of Decay
Camilla (one of Three who rule),1980,1980,4,Tom Baker,4,0.301029996,1,1,"Drink blood, control humans",Domination,Control,State of Decay
Zargo (one of Three who rule),1980,1980,4,Tom Baker,4,0.301029996,1,1,"Drink blood, control humans",Domination,Control,State of Decay
Xoanon,1977,1977,4,Tom Baker,4,0.301029996,1,1,Enslavement,Domination,Control,The Face of Evil
Krotons,1969,1969,2,Patrick Troughton,4,0.301029996,1,1,Enslavement,Domination,Control,The Krotons
Quarks,1968,1968,2,Patrick Troughton,5,0.301029996,1,1,Enslavement,Domination,Control,The Dominators
Sensorites,1964,1964,1,William Hartnell,6,0.301029996,1,1,Fear,Domination,Control,The Sensorites
Tetrap,1987,1987,7,Sylvester McCoy,4,0.301029996,1,1,Control the Universe,Domination,Dominate the universe,Time and the Rani
Wagner,2006,2006,10,David Tennant,1,0.301029996,1,1,Control time and the universe,Domination,Dominate the universe,School Reunion
BOSS,1973,1973,3,Jon Pertwee,6,0.301029996,1,1,Brainwashing,Domination,Dominate the universe,The Green Death
Jackson (Mrs),2006,2006,10,David Tennant,1,0.301029996,1,1,Dominate the universe,Domination,Dominate the universe,School Reunion
Mestor,1984,1984,6,Colin Baker,4,0.301029996,1,1,Dominate the universe,Domination,Dominate the universe,The Twin Dilema
Beast (the),2006,2006,10,David Tennant,2,0.301029996,1,1,Satan Figure,Domination,Dominate the universe,The Impossible Planet/The Satan Pit
Eternals,1983,1983,5,Peter Davison,4,0.301029996,1,1,"Amusement, universal control",Domination,Dominate the universe,Enlightenment
Master (the),1971,2009,"3,4,5,6,7,8,10","Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, Paul McGann, David Tennant",84,1.361727836,22,39,Universal control,Domination,Dominate the universe,"Terror of the Autons,The Mind of Evil,The Claws of Axos,Colony in Space,The Dí_mons,The Sea Devils,The Time Monster,Frontier in Space,The Deadly Assassin,The Keeper of Traken,Logopolis,Castrovalva,Time-Flight,The King's Demons,The Five Doctors,Planet of Fire,The Mark of the Rani,The Ultimate Foe,Survival,Doctor Who,Utopia/The Sound of Drums/Last of the Time Lords,The End of Time,The Caves of Androzani"
Nestene Consciousness,1970,2010,"3,9",Jon Pertwee,9,0.602059991,3,41,Universal control,Domination,Dominate the universe,Spearhead from Space/Terror of the Autons/Rose
Morbius,1976,1976,4,Tom Baker,4,0.301029996,1,1,Universal control,Domination,Dominate the universe,The Brain of Morbius
Hepesh,1972,1972,3,Jon Pertwee,4,0.301029996,1,1,Universal control,Domination,Dominate the universe,The Curse of Peladon
Skagra,1979,1979,4,Tom Baker,6,0.301029996,1,1,Universe domination,Domination,Dominate the universe,Shada
Great One (Giant Spiders of Metebelis III),1974,1974,3,Jon Pertwee,6,0.301029996,1,1,Universe domination,Domination,Dominate the universe,Planet of the Spiders
Angelo,2006,2006,10,David Tennant ,1,0.301029996,1,1,Create new empire,Domination,Dominate the universe,Tooth and Claw
"Soldeed, The",1979,1980,4,Tom Baker,4,0.301029996,1,2,Rebuild the Skonnan Empire,Domination,Dominate the universe,The Horns of Nimon
Arcturus,1972,1972,3,Jon Pertwee,4,0.301029996,1,1,Control of planet,Domination,Dominate the world,The Curse of Peladon
Ice Warriors,1967,2013,"2,3,11","Patrick Troughton, Jon Pertwee, Matt Smith",25,0.903089987,7,47,Absorb planets,Domination,Dominate the world,"The Ice Warriors, The Seeds of Death, The Curse of Peladon, The Monster of Peladon,The War Games, The Mind of Evil, Cold War"
Great Vampire,1980,1980,4,Tom Baker,4,0.301029996,1,1,Absorb planets,Domination,Dominate the world,State of Decay
House,2011,2011,11,Matt Smith,1,0.301029996,1,1,"Absorb planets, TARDIS'",Domination,Dominate the world,The Doctor's Wife
Adipose Industries ,2008,2008,10,David Tennant,1,0.301029996,1,1,Control the World,Domination,Dominate the world,Partners in Crime
"Dextrus, Lucias Petrus",2008,2008,10,David Tennant,1,0.301029996,1,1,Dominate the world,Domination,Dominate the world,The Fires of Pompeii
Dominators,1968,1968,2,Patrick Troughton,5,0.301029996,1,1,Turn Planet into fuel,Domination,Dominate the world,The Dominators
Wire (the),2006,2006,10,David Tennant,1,0.301029996,1,1,Erase thoughts,Domination,Dominate the world,The Idiot's Lantern
Sil,1985,1986,6,Colin Baker,6,0.477121255,2,2,Exploitation,Domination,Dominate the world,Vengeance on Varos/Mindwarp
De Flores,1988,1988,7,Sylvester McCoy,3,0.301029996,1,1,"Human dictatorship, establish fourth reich",Domination,Dominate the world,Silver Nemisis
Viperox,2009,2009,10,David Tennant,7,0.301029996,1,1,Hunt/invade,Domination,Dominate the world,Dreamland
Daughter of Mine,2007,2007,10,David Tennant,2,0.301029996,1,1,Infiltrate places,Domination,Dominate the world,Human Nature/The Family of Blood
Tractator,1984,1984,5,Peter Davison,4,0.301029996,1,1,Invade,Domination,Dominate the world,Frontios
Azlok,2009,2009,10,David Tennant,7,0.301029996,1,1,Invading Earth,Domination,Dominate the world,Dreamland
Sontarans,1973,2008,"2,3,4,6,10,11","Patrick Troughton, Jon Pertwee, Tom Baker, Colin Baker, David Tennant, Matt Smith",21,1,9,36,"War, world domination",Domination,Dominate the world,"The Time Warrior, The Sontaran Experiment, The Invasion of Time, The Two Doctors, The Sontaran Stratagem/The Poison Sky, Logopolis, The End of Time, The Pandorica Opens, A Good Man Goes to War"
Silurians (exc Sea Devils),1970,2010,"3,5,11","Jon Pertwee, Peter Davison, Matt Smith",16,0.84509804,6,41,World domination,Domination,Dominate the world,"Doctor Who and the Silurians, Warriors of the Deep, The Hungry Earth/Cold Blood, The Pandorica Opens (see Alliance above), A Good Man Goes to War"
Great Intelligence (the),1967,2013,"2,11","Patrick Troughton, Matt Smith",15,0.77815125,5,47,World domination,Domination,Dominate the world,"The Abominable Snowmen/The Web of Fear, The Snowmen, The Bells of Saint John, The Name of the Doctor"
Silence (the),2011,2011,11,Matt Smith,4,0.602059991,3,1,World domination,Domination,Dominate the world,"The Impossible Astronaut/Day of the Moon, Let's Kill Hitler, The Wedding of River Song"
Atraxi,2010,2010,11,Matt Smith,2,0.477121255,2,1,World domination,Domination,Dominate the world,"The Eleventh Hour, The Pandorica Opens"
Sycorax (Fadros Pullujikaa),2005,2010,"10,11","David Tennant, Matt Smith",2,0.477121255,2,6,World domination,Domination,Dominate the world,The Christmas Invasion (also see Alliance above)
Restac,2010,2010,11,Matt Smith,1,0.301029996,1,1,World domination,Domination,Dominate the world,Cold Blood
Saturnynians,2010,2010,11,Matt Smith,1,0.301029996,1,1,World domination,Domination,Dominate the world,The Vampires of Venice
Pyroviles,2008,2008,10,David Tennant,1,0.301029996,1,1,World domination,Domination,Dominate the world,The Fires of Pompeii
Carrionites,2007,2007,10,David Tennant,1,0.301029996,1,1,World domination,Domination,Dominate the world,The Shakespeare Code
Gelth (the)/Gelth Ambassador,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,World domination,Domination,Dominate the world,The Unquiet Dead
Red Carnivorous Maw,2009,2010,10,David Tennant,2,0.301029996,1,2,World domination,Domination,Dominate the world,The End of Time
"Rattigan, Luke",2008,2008,10,David Tennant,2,0.301029996,1,1,World domination,Domination,Dominate the world,The Sontaran Stratagem/The Poison Sky
Staal,2008,2008,10,David Tennant,2,0.301029996,1,1,World domination,Domination,Dominate the world,The Sontaran Stratagem/The Poison Sky
Bannermen,1987,1987,7,Sylvester McCoy,3,0.301029996,1,1,World domination,Domination,Dominate the world,Delta and the Bannermen
Mandragora Helix,1976,1976,4,Tom Baker,4,0.301029996,1,1,World domination,Domination,Dominate the world,The Masque of Mandragora
Wirrn/Wirrrn ,1975,1975,4,Tom Baker,4,0.301029996,1,1,World domination,Domination,Dominate the world,The Ark in Space
"Stahlman, Professor",1970,1970,3,Jon Pertwee,4,0.301029996,1,1,World domination,Domination,Dominate the world,Inferno
WOTAN,1966,1966,1,William Hartnell,4,0.301029996,1,1,World domination,Domination,Dominate the world,The War Machines
Krynoids,1976,1976,4,Tom Baker,6,0.301029996,1,1,World domination,Domination,Dominate the world,Seeds of Doom
Eckersley,1974,1974,3,Jon Pertwee,6,0.301029996,1,1,World domination,Domination,Dominate the world,The Monster of Peladon
Seaweed Creature (Weed creature),1968,1968,2,Patrick Troughton,6,0.301029996,1,1,World domination,Domination,Dominate the world,Fury from the Deep
Varga,1967,1967,2,Patrick Troughton,6,0.301029996,1,1,World domination,Domination,Dominate the world,The Ice Warriors
Morka,1970,1970,3,Jon Pertwee,7,0.301029996,1,1,World domination,Domination,Dominate the world,Doctor Who and the Silurians    
Slitheen,2005,2005,9,Christopher Eccleston,3,0.477121255,2,1,"World domination, kill humans",Domination,Dominate the world,"Aliens of London/World War Three, Boom Town"
Judoon,2007,2010,"10,11","David Tennant, Matt Smith",3,0.602059991,3,4,Obey bureaucracy,Domination,Power,"Smith & Jones, The Stolen Earth, The Pandorica Opens (see Alliance above)"
Rassilon,1983,2010,"1,2,3,4,5,10,11","Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, David Tennant, Matt Smith",3,0.477121255,2,28,Power,Domination,Power,"The Five Doctors, The End of Time"
Hawthorne,2010,2010,11,Matt Smith,1,0.301029996,1,1,Power,Domination,Power,The Beast Below
Kess,2008,2008,10,David Tennant,1,0.301029996,1,1,Power,Domination,Power,Planet of the Ood
"James, Tennant",2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Power,Domination,Power,World War Three 
"Hutchinson, Sir George",1984,1984,5,Peter Davison,2,0.301029996,1,1,Power,Domination,Power,The Awakening
Mordred,1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Power,Domination,Power,Battlefield
Icthar,1984,1984,5,Peter Davison,4,0.301029996,1,1,Power,Domination,Power,Warriors of the Deep
Timanor,1984,1984,5,Peter Davison,4,0.301029996,1,1,Power,Domination,Power,Planet of Fire 
Thawn,1978,1979,4,Tom Baker,4,0.301029996,1,2,Power,Domination,Power,The Power of Kroll
Broton,1975,1975,4,Tom Baker ,4,0.301029996,1,1,Power,Domination,Power,Terror of the Zygons
Kalik,1973,1973,3,Jon Pertwee,4,0.301029996,1,1,Power,Domination,Power,Carnival of Monsters
Kaftan,1967,1967,2,Patrick Troughton,4,0.301029996,1,1,Power,Domination,Power,Tomb of the Cybermen
"Klieg, Eric",1967,1967,2,Patrick Troughton,4,0.301029996,1,1,Power,Domination,Power,Tomb of the Cybermen
Monoid,1966,1966,1,William Hartnell,4,0.301029996,1,1,Power,Domination,Power,The Ark
"Moroks, (the)",1965,1965,1,William Hartnell,4,0.301029996,1,1,Power,Domination,Power,The Space Museum
Kal,1963,1963,1,William Hartnell,4,0.301029996,1,1,Power,Domination,Power,An Unearthy Child
Za,1963,1963,1,William Hartnell,4,0.301029996,1,1,Power,Domination,Power,An Unearthy Child
Marshal of Atrios,1979,1979,4,Tom Baker ,6,0.301029996,1,1,Power,Domination,Power,The Armageddon Factor
Azaxyr,1974,1974,3,Jon Pertwee,6,0.301029996,1,1,Power,Domination,Power,The Monster of Peladon
"Grover, Charles",1974,1974,3,Jon Pertwee,6,0.301029996,1,1,Power,Domination,Power,Invasion of the Dinosaurs
Sskel,1974,1974,3,Jon Pertwee,6,0.301029996,1,1,Power,Domination,Power,The Monster of Peladon
"Mailer, Harry ",1971,1971,3,Jon Pertwee,6,0.301029996,1,1,Power,Domination,Power,The mind of Evil
Mantasphid Queen,2007,2007,10,David Tennant,13,0.301029996,1,1,Power,Domination,Power,The Infinite Quest 
"Sisters of Plenitude (Hame, Jaff)",2006,2007,10,David Tennant,2,0.477121255,2,2,"Power, experimented on humans",Domination,Power,"New Earth, Gridlock"
"Stark, Colonel",2009,2009,10,David Tennant,7,0.301029996,1,1,"Power, Kill humans",Domination,Power,Dreamland
Monarch,1982,1982,5,Peter Davison,4,0.301029996,1,1,"Power, money",Domination,Power,Four to Doomsday
Mysterious Man,2007,2007,10,David Tennant,1,0.301029996,1,1,Power/ serve big bad,Domination,Power,The Hazarus Experiment
"Federico, Count",1976,1976,4,Tom Baker,4,0.301029996,1,1,Power/ serve big bad,Domination,Power,The Masque of Mandragora
Hieronymous,1976,1976,4,Tom Baker,4,0.301029996,1,1,Power/ serve big bad,Domination,Power,The Masque of Mandragora
Voord,1964,1964,1,William Hartnell,6,0.301029996,1,1,Wants to control a Planet,Domination,Power,The Keys of Marinus
Salamander,1967,1968,2,Patrick Troughton,6,0.301029996,1,2,Wants to control an organisation,Domination,Power,The Enemy of the World
Diagoras (Mr),2007,2007,10,David Tennant,1,0.301029996,1,1,Run New York city,Domination,Power,Daleks in Manhatten
"Green, Joseph",2005,2005,9,Christopher Eccleston,2,0.301029996,1,1,Cause World War Three,Domination,War,Aliens of London/World War Three
"Cobb, General",2008,2008,10,David Tennant,1,0.301029996,1,1,War,Domination,War,The Doctor's Daughter
Hath,2008,2008,10,David Tennant,1,0.301029996,1,1,War,Domination,War,The Doctor's Daughter
Morgaine,1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,War,Domination,War,Battlefield
Rutans,1977,1977,4,Tom Baker,4,0.301029996,1,1,War,Domination,War,Horror of Fang Rock
Drahvin,1965,1965,1,William Hartnell,4,0.301029996,1,1,War,Domination,War,Galaxy 4
Shadow (the),1979,1979,4,Tom Baker,6,0.301029996,1,1,War,Domination,War,The Armageddon Factor
"Carrington, General",1970,1970,7,Jon Pertwee,7,0.301029996,1,1,War,Domination,War,The Ambassadors of Death
Movellans,1979,1979,4,Tom Baker,4,0.301029996,1,1,War with Daleks,Domination,War,Destiny of the Daleks
Hoix,2006,2010,"10,11","David Tennant, Matt Smith",2,0.477121255,2,5,Consume everything/Imprison the Doctor,Extermination,Destroy all life,"Love and Monsters (cameo), The Pandorica Opens (see Alliance above)"
Vashta Nerada,2008,2008,10,David Tennant,2,0.301029996,1,1,Consume lifeforms,Extermination,Destroy all life,Silence in the Library/Forest of the Dead
Swarm (Alien Stingray),2009,2009,10,David Tennant,1,0.301029996,1,1,Destroy all life,Extermination,Destroy all life,Planet of the Dead
Light,1989,1989,7,Sylvester McCoy,3,0.301029996,1,1,Destroy all life,Extermination,Destroy all life,Ghost Light
"Smith, Josiah Samuel (Survey)",1989,1989,7,Sylvester McCoy,3,0.301029996,1,1,Destroy all life,Extermination,Destroy all life,Ghost Light
Sutekh,1975,1975,4,Tom Baker,4,0.301029996,1,1,Destroy all life,Extermination,Destroy all life,Pyramids of Mars
Kroll,1978,1979,4,Tom Baker,4,0.301029996,1,2,Indiscriminate destruction,Extermination,Destroy all life,The Power of Kroll
Macra (the),1967,2007,"2,10","Patrick Troughton, David Tennant",5,0.477121255,2,41,Kill everything,Extermination,Destroy all life,"The Macra Terror, Gridlock"
Host (the),2006,2006,10,David Tennant,1,0.301029996,1,1,Kill everything,Extermination,Destroy all life,Tooth and Claw
Lupine Wavelength Haemovariform (werewolf),2006,2006,10,David Tennant,1,0.301029996,1,1,Kill everything,Extermination,Destroy all life,Tooth and Claw
Raston Warrior Robot,1983,1983,"1,2,3,4,5","Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison",1,0.301029996,1,1,Kill everything,Extermination,Destroy all life,The Five Doctors
Mandrels,1979,1979,4,Tom Baker,4,0.301029996,1,1,Kill everything,Extermination,Destroy all life,Nightmare of Eden
Horda,1977,1977,4,Tom Baker,4,0.301029996,1,1,Kill everything,Extermination,Destroy all life,The Face of Evil
Drashigs,1973,1973,3,Jon Pertwee,4,0.301029996,1,1,Kill everything,Extermination,Destroy all life,Carnival of Monsters
Flood (the),2009,2009,10,David Tennant,1,0.301029996,1,1,Viral infection,Extermination,Destroy all life, The Waters of Mars
"Hedin, Councillor",1983,1983,5,Peter Davison,4,0.301029996,1,1,Viral infection,Extermination,Destroy all life,Arc of Infinity
Fendahl (inc Fendahleen),1977,1977,4,Tom Baker,4,0.301029996,1,1,Devour life,Extermination,Destroy all life,Image of the Fendahl
Daleks,1963,2010,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, Christopher Eccleston, David Tennant, Matt Smith",104,1.544068044,34,48,Earth invasion/Human extermination,Extermination,Destroy all life,"The Daleks, The Dalek Invasion of Earth, The Chase, Mission to the Unknown, The Daleks' Master Plan, The Power of the Daleks, The Evil of the Daleks, Day of the Daleks, Planet of the Daleks, Death to the Daleks, Genesis of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, Dalek, Bad Wolf/The Parting of the Ways, Army of Ghosts/Doomsday, Daleks in, Manhattan/Evolution of the Daleks, The Stolen Earth, Journey's End, Victory of the Daleks, The Pandorica Opens, The Big Bang, The Space Museum, The Wheel in Space, The War Games, The Mind of Evil, Frontier in Space, The Five Doctors, Doctor Who, Human Nature, The Waters of Mars, The Beast Below, The Wedding of River Song, Asylum of the Daleks"
Davros,1975,2008,"4, 5, 6, 7, 10","Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant",22,0.84509804,6,34,Earth invasion/Human extermination,Extermination,Destroy all life,"Genesis of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, The Stolen Earth/Journey's End"
Cyberman Android,1982,1982,5,Peter Davison,4,0.301029996,1,1,Destroy the world,Extermination,Destroy all life,Earthshock
New Humans,2006,2007,10,David Tennant,2,0.477121255,2,2,Sabotage,Extermination,Destroy all life,"New Earth, Gridlock"
K1 Robot (Giant Robot),1974,1975,4,Tom Baker,4,0.301029996,1,2,Mindless destruction,Extermination,Destroy all life,Robot
Shakri,2012,2012,11,Matt Smith,1,0.301029996,1,1,Destroy humans,Extermination,Destroy humans,The Power of Three
Cybermen,1966,2013,"1, 2, 3, 4, 5, 6, 7, 10, 11","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant, Matt Smith",57,1.414973348,25,48,Earth invasion/Human extermination,Extermination,Destroy humans,"The Tenth Planet, The Moonbase, The Tomb of the Cybermen, The Wheel in Space, The Invasion, Revenge of the Cybermen, Earthshock, The Five Doctors, Attack of the Cybermen, Silver Nemesis, Rise of the Cybermen/The Age of Steel, Army of Ghosts/Doomsday, The Next Doctor, The Pandorica Opens, The War Games, The Mind of Evil, Carnival of Monsters, Logopolis, Mawdryn Undead, Dalek, Human Nature, A Good Man Goes to War, Closing Time, Nightmare in Silver"
Dalek Supreme,1964,2010,"1, 2, 3, 4, 5, 6, 7, 10, 11","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant, Matt Smith",63,1.176091259,14,47,Earth invasion/Human extermination,Extermination,Destroy humans,"Dalek Invasion of earth, The Daleks' Master Plan, The Chase, The Evil of the Daleks, Day of the Daleks, Frontier in Space, Planet of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, The Stolen Earth/Journey's End, Victory of the Daleks, The Pandorica Opens"
Cyber-controller,1967,1985,"2,6","Patrick Troughton, Colin Baker",6,0.477121255,2,19,Earth invasion/Human extermination,Extermination,Destroy humans,"The Tomb of the Cybermen, Attack of the Cybermen"
Axons,1971,1971,3,Jon Pertwee,4,0.301029996,1,1,Earth invasion/Human extermination,Extermination,Destroy humans,The Claws of Axos
Cult of Skaro,2006,2007,10,David Tennant,4,0.477121255,2,2,Earth invasion/Human extermination/Human-Dalek hybrid,Extermination,Destroy humans,"Army of Ghosts/Doomsday, Daleks in Manhattan/Evolution of the Daleks"
Pangol,1980,1980,4,Tom Baker,4,0.301029996,1,1,Conquest,Extermination,Destroy humans,The Leisure Hive
"Zaroff, Professor",1967,1967,2,Patrick Troughton,4,0.301029996,1,1,Destroy the World,Extermination,Destroy humans,The Underwater Menace
Nucleus,1977,1977,4,Tom Baker,4,0.301029996,1,1,"Disease, infection",Extermination,Destroy humans,The Invisible Enemy
Gods of Ragnarok,1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Kill alien species/enslavement,Extermination,Kill an alien species,The Greatest Show in the Galaxy
"Halpen, Klineman",2008,2008,10,David Tennant,1,0.301029996,1,1,Kill an alien species,Extermination,Kill an alien species,Planet of the Ood
Malus,1984,1984,5,Peter Davison,2,0.301029996,1,1,Kill other alien species,Extermination,Kill an alien species,The Awakening
Kane,1987,1987,7,Sylvester McCoy,3,0.301029996,1,1,Kill another alien species,Extermination,Kill an alien species,Dragon Fire
Gavrok,1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Kill another alien species,Extermination,Kill an alien species,The Greatest Show in the Galaxy
Three Who Rule,1980,1980,4,Tom Baker,4,0.301029996,1,1,Kill creatures/control humans,Extermination,Kill humans,State of Decay
Chief Sea Devil,1972,1972,3,Jon Pertwee,6,0.301029996,1,1,Destroy the human race,Extermination,Kill humans,The Sea Devils     
Pig Slave,2007,2007,10,David Tennant,2,0.477121255,2,1,Kill humans,Extermination,Kill humans,"Daleks in Manhatten, Evolution of the Daleks"
"Droid, Anne ",2005,2005,"9,10","Christopher Eccleston, David Tennant",2,0.477121255,2,1,Kill humans,Extermination,Kill humans,"Bad Wolf, The Parting of the Ways"
"Golightly, Arnold",2008,2008,10,David Tennant ,1,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Unicorn and the Wasp
Futurekind,2007,2007,10,David Tennant,1,0.301029996,1,1,Kill humans,Extermination,Kill humans,Utopia
"Lazarus, Professor Richard",2007,2007,10,David Tennant,1,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Lazarus Experiment
Abzorbaloff (Victor Kennedy),2006,2006,10,David Tennant,1,0.301029996,1,1,Kill humans,Extermination,Kill humans,Love and Monsters
Father Angelo,2006,2006,10,David Tennant,1,0.301029996,1,1,Kill humans,Extermination,Kill humans,Tooth and Claw
"Finch, Mr (Lassar)",2006,2006,10,David Tennant,1,0.301029996,1,1,Kill humans,Extermination,Kill humans,School Reunion
